"order_month","product_category_name","order_count"
"2017-08","telefonia_fixa","20"
"2017-05","livros_interesse_geral","20"
"2017-12","moveis_cozinha_area_de_servico_jantar_e_jardim","20"
"2018-02","construcao_ferramentas_jardim","19"
"2017-10","moveis_sala","19"
"2018-01","industria_comercio_e_negocios","19"
"2017-11","climatizacao","19"
"2018-02","moveis_cozinha_area_de_servico_jantar_e_jardim","19"
"2018-03","alimentos_bebidas","19"
"2018-04","livros_tecnicos","19"
"2017-05","eletroportateis","19"
"2018-01","artes","19"
"2018-08","artes","19"
"2018-04","casa_conforto","19"
"2018-03","moveis_sala","19"
"2017-12","artigos_de_natal","19"
"2017-02","papelaria","19"
"2016-10","esporte_lazer","19"
"2017-11","agro_industria_e_comercio","19"
"2018-06","eletrodomesticos_2","19"
"2017-11","bebidas","19"
"2017-10","construcao_ferramentas_construcao","18"
"2018-05","cine_foto","18"
"2017-10","casa_construcao","18"
"2017-02","eletronicos","18"
"2017-09","fashion_underwear_e_moda_praia","18"
"2017-06","moveis_sala","18"
"2018-04","construcao_ferramentas_jardim","18"
"2018-07","alimentos_bebidas","18"
"2018-08","agro_industria_e_comercio","18"
"2018-03","livros_tecnicos","18"
"2017-10","fashion_calcados","18"
"2018-04","construcao_ferramentas_ferramentas","18"
"2017-06","casa_conforto","18"
"2018-01","casa_conforto","18"
"2017-12","eletrodomesticos","18"
"2017-12","audio","18"
"2018-03","market_place","17"
"2017-06","market_place","17"
"2017-09","alimentos","17"
"2017-10","alimentos","17"
"2017-10","alimentos_bebidas","17"
"2017-05","audio","17"
"2017-05","alimentos_bebidas","17"
"2017-11","construcao_ferramentas_jardim","17"
"2017-04","consoles_games","17"
"2017-04","climatizacao","17"
"2017-04","casa_conforto","17"
"2018-01","agro_industria_e_comercio","17"
"2017-03","market_place","17"
"2018-01","livros_tecnicos","17"
"2018-03","construcao_ferramentas_seguranca","17"
"2018-05","telefonia_fixa","17"
"2018-06","telefonia_fixa","17"
"2018-07","bebidas","17"
"2018-07","climatizacao","17"
"2018-08","casa_conforto","17"
"2018-08","portateis_casa_forno_e_cafe","17"
"2018-03","construcao_ferramentas_iluminacao","16"
"2017-04","instrumentos_musicais","16"
"2017-11","alimentos","16"
"2017-08","eletrodomesticos_2","16"
"2017-09","fashion_roupa_masculina","16"
"2018-04","alimentos_bebidas","16"
"2017-08","climatizacao","16"
"2017-11","market_place","16"
"2018-06","construcao_ferramentas_seguranca","16"
"2018-05","construcao_ferramentas_jardim","16"
"2018-05","climatizacao","16"
"2017-03","climatizacao","16"
"2018-06","casa_conforto","16"
